CNVR_ID	Chr	Start	End	Frequent	0	1	3	4	Type	Length	version	Check_overlap
CNVR_32	4	15849767	16918197	2			2		Gain	1068431	Verision_ARS	Overlap
CNVR_33	4	17858900	18815510	2			2		Gain	956611	Verision_ARS	Overlap
CNVR_34	4	22646006	22745371	1	1				Loss	99366	Verision_ARS	Overlap
CNVR_35	4	45664659	45743508	1	1				Loss	78850	Verision_ARS	Overlap
CNVR_36	4	58591926	59647887	1			1		Gain	1055962	Verision_ARS	Overlap
CNVR_37	4	59813010	59953839	1			1		Gain	140830	Verision_ARS	Overlap
CNVR_39	4	66482908	67007235	26			26		Gain	524328	Verision_ARS	Overlap
CNVR_40	4	72358306	72561411	5	5				Loss	203106	Verision_ARS	Overlap
CNVR_41	4	73676903	73758088	2	2				Loss	81186	Verision_ARS	Overlap
CNVR_42	4	83708251	85983005	3			3		Gain	2274755	Verision_ARS	Overlap
CNVR_43	4	106018897	106193024	1			1		Gain	174128	Verision_ARS	Overlap
CNVR_44	4	113657341	113889320	3			3		Gain	231980	Verision_ARS	Overlap
CNVR_45	5	7674802	9143490	2			2		Gain	1468689	Verision_ARS	Overlap
CNVR_46	5	27214378	27287454	1			1		Gain	73077	Verision_ARS	Overlap
CNVR_51	5	51636267	55590501	7	1		6		Mixed	3954235	Verision_ARS	Overlap
CNVR_52	5	58003271	60244864	3	1		2		Mixed	2241594	Verision_ARS	Overlap
CNVR_53	5	89545151	93920010	2			2		Gain	4374860	Verision_ARS	Overlap
CNVR_54	5	119308044	119348174	11	11				Loss	40131	Verision_ARS	Overlap
CNVR_55	5	119729902	119761233	1	1				Loss	31332	Verision_ARS	Overlap
CNVR_56	5	119910992	119969515	1				1	Gain	58524	Verision_ARS	Overlap
CNVR_59	6	8617907	11875487	2			2		Gain	3257581	Verision_ARS	Overlap
CNVR_60	6	12296402	12391211	2		2			Loss	94810	Verision_ARS	Overlap
CNVR_61	6	32408331	34959851	1			1		Gain	2551521	Verision_ARS	Overlap
CNVR_62	6	35648890	35710334	1	1				Loss	61445	Verision_ARS	Overlap
CNVR_64	6	37962382	37976610	1		1			Loss	14229	Verision_ARS	Overlap
CNVR_65	6	39259257	39300440	1			1		Gain	41184	Verision_ARS	Overlap
CNVR_67	6	48578627	51492985	1			1		Gain	2914359	Verision_ARS	Overlap
CNVR_68	6	53581208	53787963	1		1			Loss	206756	Verision_ARS	Overlap
CNVR_69	6	63402550	67423466	1			1		Gain	4020917	Verision_ARS	Overlap
CNVR_70	6	85954909	86207116	53	53				Loss	252208	Verision_ARS	Overlap
CNVR_71	6	91636147	91660390	1			1		Gain	24244	Verision_ARS	Overlap
CNVR_72	6	96654485	97475077	1			1		Gain	820593	Verision_ARS	Overlap
CNVR_73	6	104320493	104423445	1			1		Gain	102953	Verision_ARS	Overlap
CNVR_74	7	169828	233662	25	23	2			Loss	63835	Verision_ARS	Overlap
CNVR_75	7	9434503	11402583	42	3		38	1	Mixed	1968081	Verision_ARS	Overlap
CNVR_77	7	22890277	23166779	1		1			Loss	276503	Verision_ARS	Overlap
CNVR_78	7	23868219	24693994	1		1			Loss	825776	Verision_ARS	Overlap
CNVR_79	7	28542358	28657444	1	1				Loss	115087	Verision_ARS	Overlap
CNVR_80	7	29560140	29642778	1	1				Loss	82639	Verision_ARS	Overlap
CNVR_81	7	33119399	35366992	6			6		Gain	2247594	Verision_ARS	Overlap
CNVR_84	7	70621019	70822690	2			2		Gain	201672	Verision_ARS	Overlap
CNVR_85	7	77854696	82546140	2	1		1		Mixed	4691445	Verision_ARS	Overlap
CNVR_86	7	86053351	88572978	10	8		1	1	Mixed	2519628	Verision_ARS	Overlap
CNVR_87	7	93224876	93254737	1		1			Loss	29862	Verision_ARS	Overlap
CNVR_88	7	93522200	95027313	1			1		Gain	1505114	Verision_ARS	Overlap
CNVR_89	7	105279874	109027529	3	2		1		Mixed	3747656	Verision_ARS	Overlap
CNVR_90	7	112516157	112610067	2			2		Gain	93911	Verision_ARS	Overlap
CNVR_91	8	1873738	4988343	2			2		Gain	3114606	Verision_ARS	Overlap
CNVR_92	8	17466905	21695762	1			1		Gain	4228858	Verision_ARS	Overlap
CNVR_96	8	93276825	95307289	2			1	1	Gain	2030465	Verision_ARS	Overlap
CNVR_98	9	2738997	2934964	5	5				Loss	195968	Verision_ARS	Overlap
CNVR_99	9	4906838	4966893	1	1				Loss	60056	Verision_ARS	Overlap
CNVR_101	9	15916463	18416803	1			1		Gain	2500341	Verision_ARS	Overlap
CNVR_102	9	30939888	30966432	2	2				Loss	26545	Verision_ARS	Overlap
CNVR_103	9	35343932	36391522	2			2		Gain	1047591	Verision_ARS	Overlap
CNVR_106	9	47208243	48175366	1		1			Loss	967124	Verision_ARS	Overlap
CNVR_108	9	85809578	85927793	1	1				Loss	118216	Verision_ARS	Overlap
CNVR_111	10	2315405	2335938	1	1				Loss	20534	Verision_ARS	Overlap
CNVR_112	10	14129663	14200836	1			1		Gain	71174	Verision_ARS	Overlap
CNVR_113	10	22379850	25265627	53	43	1	9		Mixed	2885778	Verision_ARS	Overlap
CNVR_116	10	55708101	55805448	3	3				Loss	97348	Verision_ARS	Overlap
CNVR_118	10	87560350	87800552	2			2		Gain	240203	Verision_ARS	Overlap
CNVR_119	10	104016609	104152410	2			1	1	Gain	135802	Verision_ARS	Overlap
CNVR_120	11	4177123	4225930	1	1				Loss	48808	Verision_ARS	Overlap
CNVR_121	11	16727817	18471801	1			1		Gain	1743985	Verision_ARS	Overlap
CNVR_123	11	52004919	52140975	1	1				Loss	136057	Verision_ARS	Overlap
CNVR_124	11	103363410	106804258	4		1	1	2	Mixed	3440849	Verision_ARS	Overlap
CNVR_125	12	32089643	32182960	7	2		5		Mixed	93318	Verision_ARS	Overlap
CNVR_127	12	42098999	43799317	2		1	1		Mixed	1700319	Verision_ARS	Overlap
CNVR_128	12	57900635	58725768	27	1	24	2		Mixed	825134	Verision_ARS	Overlap
CNVR_129	12	59108123	59239590	5			5		Gain	131468	Verision_ARS	Overlap
CNVR_130	12	61667023	61759245	1	1				Loss	92223	Verision_ARS	Overlap
CNVR_131	12	70488515	70618867	6	6				Loss	130353	Verision_ARS	Overlap
CNVR_132	12	70816749	72117025	14	14				Loss	1300277	Verision_ARS	Overlap
CNVR_133	12	72419043	76870470	89	53	1	35		Mixed	4451428	Verision_ARS	Overlap
CNVR_134	12	82137254	82229884	7	7				Loss	92631	Verision_ARS	Overlap
CNVR_135	12	83266140	85453952	2			2		Gain	2187813	Verision_ARS	Overlap
CNVR_137	13	12543348	12808180	1			1		Gain	264833	Verision_ARS	Overlap
CNVR_138	13	41643163	41678593	1	1				Loss	35431	Verision_ARS	Overlap
CNVR_139	13	43643509	43771619	11			11		Gain	128111	Verision_ARS	Overlap
CNVR_141	13	53915515	54076116	6	6				Loss	160602	Verision_ARS	Overlap
CNVR_143	14	19993440	20421717	5			5		Gain	428278	Verision_ARS	Overlap
CNVR_144	14	77329830	77442081	2	2				Loss	112252	Verision_ARS	Overlap
CNVR_145	14	78336871	78386690	5	5				Loss	49820	Verision_ARS	Overlap
CNVR_146	14	84606028	84628243	1			1		Gain	22216	Verision_ARS	Overlap
CNVR_147	15	74750	1295957	1			1		Gain	1221208	Verision_ARS	Overlap
CNVR_148	15	2130402	4293948	6		5	1		Mixed	2163547	Verision_ARS	Overlap
CNVR_149	15	12689785	12751702	1	1				Loss	61918	Verision_ARS	Overlap
CNVR_151	15	46539222	46975690	2			2		Gain	436469	Verision_ARS	Overlap
CNVR_152	15	47873132	48075574	10	8		2		Mixed	202443	Verision_ARS	Overlap
CNVR_155	15	68387254	73255004	1			1		Gain	4867751	Verision_ARS	Overlap
CNVR_156	15	80329011	80935724	32	8	3	19	2	Mixed	606714	Verision_ARS	Overlap
CNVR_157	16	5584314	6125517	4	2		2		Mixed	541204	Verision_ARS	Overlap
CNVR_159	16	10859069	10958964	1		1			Loss	99896	Verision_ARS	Overlap
CNVR_161	16	15126214	15293292	43	43				Loss	167079	Verision_ARS	Overlap
CNVR_163	16	61932640	62244131	18			18		Gain	311492	Verision_ARS	Overlap
CNVR_164	17	727200	2748831	1			1		Gain	2021632	Verision_ARS	Overlap
CNVR_165	17	22285150	22378265	1	1				Loss	93116	Verision_ARS	Overlap
CNVR_166	17	25010293	25167004	3	3				Loss	156712	Verision_ARS	Overlap
CNVR_167	17	27303135	27484341	2	2				Loss	181207	Verision_ARS	Overlap
CNVR_168	17	30640617	34057200	2			2		Gain	3416584	Verision_ARS	Overlap
CNVR_169	17	42422307	42685587	2		2			Loss	263281	Verision_ARS	Overlap
CNVR_172	17	74723634	74925889	2			1	1	Gain	202256	Verision_ARS	Overlap
CNVR_174	18	27870868	28375091	2			2		Gain	504224	Verision_ARS	Overlap
CNVR_178	19	7762820	7902781	4	4				Loss	139962	Verision_ARS	Overlap
CNVR_179	19	14579657	14606603	1	1				Loss	26947	Verision_ARS	Overlap
CNVR_180	19	27576066	28031919	2			1	1	Gain	455854	Verision_ARS	Overlap
CNVR_181	19	51478494	51538272	1	1				Loss	59779	Verision_ARS	Overlap
CNVR_182	19	52740740	52872517	2			2		Gain	131778	Verision_ARS	Overlap
CNVR_183	19	55101341	55191677	1			1		Gain	90337	Verision_ARS	Overlap
CNVR_184	20	1086515	1196509	5			5		Gain	109995	Verision_ARS	Overlap
CNVR_188	20	29717135	29785475	1	1				Loss	68341	Verision_ARS	Overlap
CNVR_189	20	46028649	46091593	2	2				Loss	62945	Verision_ARS	Overlap
CNVR_190	20	53346454	53410194	1	1				Loss	63741	Verision_ARS	Overlap
CNVR_191	20	60147560	61455283	2	1		1		Mixed	1307724	Verision_ARS	Overlap
CNVR_192	20	68499446	68547457	1	1				Loss	48012	Verision_ARS	Overlap
CNVR_195	21	29654748	29762241	1			1		Gain	107494	Verision_ARS	Overlap
CNVR_196	21	37941393	37993399	1	1				Loss	52007	Verision_ARS	Overlap
CNVR_197	21	52273180	52364049	6	6				Loss	90870	Verision_ARS	Overlap
CNVR_198	21	52771584	53285393	1		1			Loss	513810	Verision_ARS	Overlap
CNVR_199	21	54181213	54276389	4	4				Loss	95177	Verision_ARS	Overlap
CNVR_200	22	9165638	9458557	1		1			Loss	292920	Verision_ARS	Overlap
CNVR_204	23	15894	1775946	1			1		Gain	1760053	Verision_ARS	Overlap
CNVR_207	23	26255454	26314846	18	18				Loss	59393	Verision_ARS	Overlap
CNVR_208	23	27286587	27903991	3	2		1		Mixed	617405	Verision_ARS	Overlap
CNVR_209	23	28970578	29126339	4	3		1		Mixed	155762	Verision_ARS	Overlap
CNVR_210	23	31338261	31707092	1			1		Gain	368832	Verision_ARS	Overlap
CNVR_211	24	13255894	13331435	7	7				Loss	75542	Verision_ARS	Overlap
CNVR_214	24	26382635	29490959	4	1		2	1	Mixed	3108325	Verision_ARS	Overlap
CNVR_216	24	60441853	60476719	1			1		Gain	34867	Verision_ARS	Overlap
CNVR_217	25	853665	1771425	1		1			Loss	917761	Verision_ARS	Overlap
CNVR_218	25	9621091	9690819	2			2		Gain	69729	Verision_ARS	Overlap
CNVR_219	25	10131703	10160301	1	1				Loss	28599	Verision_ARS	Overlap
CNVR_220	25	42006514	42115088	1			1		Gain	108575	Verision_ARS	Overlap
CNVR_221	26	3010798	3087092	2	1		1		Mixed	76295	Verision_ARS	Overlap
CNVR_225	26	25719640	25757447	7	7				Loss	37808	Verision_ARS	Overlap
CNVR_227	26	51200330	51267717	1			1		Gain	67388	Verision_ARS	Overlap
CNVR_230	27	8160092	12430054	2	1		1		Mixed	4269963	Verision_ARS	Overlap
CNVR_231	27	15447004	18226356	1			1		Gain	2779353	Verision_ARS	Overlap
CNVR_232	27	19272412	22448445	1			1		Gain	3176034	Verision_ARS	Overlap
CNVR_235	28	2313753	2869287	139	138		1		Mixed	555535	Verision_ARS	Overlap
CNVR_236	28	8022387	8200649	1		1			Loss	178263	Verision_ARS	Overlap
CNVR_237	28	9886410	12593367	1			1		Gain	2706958	Verision_ARS	Overlap
CNVR_238	28	20332119	24211870	2			2		Gain	3879752	Verision_ARS	Overlap
CNVR_239	28	24578469	24611840	1	1				Loss	33372	Verision_ARS	Overlap
CNVR_243	29	19200818	22047517	6	2	2	2		Mixed	2846700	Verision_ARS	Overlap
CNVR_245	29	38767346	39842168	1			1		Gain	1074823	Verision_ARS	Overlap
CNVR_4	1	18946871	18998146	1			1		Gain	51276	Verision_ARS	Non-Overlap
CNVR_9	1	62918442	63025706	1	1				Loss	107265	Verision_ARS	Non-Overlap
CNVR_10	1	72115021	72350394	1	1				Loss	235374	Verision_ARS	Non-Overlap
CNVR_13	1	142904469	142999555	4	4				Loss	95087	Verision_ARS	Non-Overlap
CNVR_16	2	13597108	13668484	1			1		Gain	71377	Verision_ARS	Non-Overlap
CNVR_25	3	11012679	11063503	1	1				Loss	50825	Verision_ARS	Non-Overlap
CNVR_28	3	67440250	67474440	1	1				Loss	34191	Verision_ARS	Non-Overlap
CNVR_38	4	65259787	65291207	1	1				Loss	31421	Verision_ARS	Non-Overlap
CNVR_47	5	37590024	37643766	1	1				Loss	53743	Verision_ARS	Non-Overlap
CNVR_48	5	41565285	41606346	2	2				Loss	41062	Verision_ARS	Non-Overlap
CNVR_49	5	42179749	42241538	4	4				Loss	61790	Verision_ARS	Non-Overlap
CNVR_50	5	50669547	50719772	1	1				Loss	50226	Verision_ARS	Non-Overlap
CNVR_57	5	120295070	120340833	1	1				Loss	45764	Verision_ARS	Non-Overlap
CNVR_58	6	1054786	1093395	1	1				Loss	38610	Verision_ARS	Non-Overlap
CNVR_63	6	37885679	37894102	3	3				Loss	8424	Verision_ARS	Non-Overlap
CNVR_66	6	39482266	39486775	1	1				Loss	4510	Verision_ARS	Non-Overlap
CNVR_76	7	15612804	15734286	1	1				Loss	121483	Verision_ARS	Non-Overlap
CNVR_82	7	41466011	41525995	1				1	Gain	59985	Verision_ARS	Non-Overlap
CNVR_83	7	66064958	66112882	2	2				Loss	47925	Verision_ARS	Non-Overlap
CNVR_93	8	43628838	43816192	1	1				Loss	187355	Verision_ARS	Non-Overlap
CNVR_94	8	70894442	71263375	1	1				Loss	368934	Verision_ARS	Non-Overlap
CNVR_95	8	83190665	83273697	46	46				Loss	83033	Verision_ARS	Non-Overlap
CNVR_97	8	95829528	96156374	5	5				Loss	326847	Verision_ARS	Non-Overlap
CNVR_100	9	12860193	12946867	5	5				Loss	86675	Verision_ARS	Non-Overlap
CNVR_104	9	36407736	36503439	1	1				Loss	95704	Verision_ARS	Non-Overlap
CNVR_105	9	46200108	46282758	1	1				Loss	82651	Verision_ARS	Non-Overlap
CNVR_107	9	79155179	80528413	1			1		Gain	1373235	Verision_ARS	Non-Overlap
CNVR_109	9	90547503	90600872	1	1				Loss	53370	Verision_ARS	Non-Overlap
CNVR_110	9	95941344	95976235	4	4				Loss	34892	Verision_ARS	Non-Overlap
CNVR_114	10	27053298	27098905	1	1				Loss	45608	Verision_ARS	Non-Overlap
CNVR_115	10	34862923	35014790	3	3				Loss	151868	Verision_ARS	Non-Overlap
CNVR_117	10	77091346	77143173	1	1				Loss	51828	Verision_ARS	Non-Overlap
CNVR_122	11	39888471	39936968	2			2		Gain	48498	Verision_ARS	Non-Overlap
CNVR_126	12	34446868	34505806	1	1				Loss	58939	Verision_ARS	Non-Overlap
CNVR_136	13	1342729	1425986	1	1				Loss	83258	Verision_ARS	Non-Overlap
CNVR_140	13	53838879	53862891	1	1				Loss	24013	Verision_ARS	Non-Overlap
CNVR_142	13	58163971	58253335	1	1				Loss	89365	Verision_ARS	Non-Overlap
CNVR_150	15	18569217	18664416	1	1				Loss	95200	Verision_ARS	Non-Overlap
CNVR_153	15	55459883	55502718	1	1				Loss	42836	Verision_ARS	Non-Overlap
CNVR_154	15	68021790	68058858	1	1				Loss	37069	Verision_ARS	Non-Overlap
CNVR_158	16	6208012	6272908	3	3				Loss	64897	Verision_ARS	Non-Overlap
CNVR_160	16	12465527	12508155	3	3				Loss	42629	Verision_ARS	Non-Overlap
CNVR_162	16	47971231	48088496	3	3				Loss	117266	Verision_ARS	Non-Overlap
CNVR_170	17	47608485	47667026	1	1				Loss	58542	Verision_ARS	Non-Overlap
CNVR_171	17	50685977	51000846	2	2				Loss	314870	Verision_ARS	Non-Overlap
CNVR_173	18	2815483	2864232	1			1		Gain	48750	Verision_ARS	Non-Overlap
CNVR_175	18	38815705	38883296	1	1				Loss	67592	Verision_ARS	Non-Overlap
CNVR_176	18	61644854	61929947	17	13		4		Mixed	285094	Verision_ARS	Non-Overlap
CNVR_177	18	63896972	63931097	1	1				Loss	34126	Verision_ARS	Non-Overlap
CNVR_185	20	9813884	9890424	1	1				Loss	76541	Verision_ARS	Non-Overlap
CNVR_186	20	10253023	10424451	1			1		Gain	171429	Verision_ARS	Non-Overlap
CNVR_187	20	22960402	23017834	1	1				Loss	57433	Verision_ARS	Non-Overlap
CNVR_193	21	13657850	13715904	2	2				Loss	58055	Verision_ARS	Non-Overlap
CNVR_194	21	20063553	20259891	17	16		1		Mixed	196339	Verision_ARS	Non-Overlap
CNVR_201	22	34096831	34168563	1	1				Loss	71733	Verision_ARS	Non-Overlap
CNVR_202	22	43894412	44172715	2	2				Loss	278304	Verision_ARS	Non-Overlap
CNVR_203	22	57444701	57486105	1	1				Loss	41405	Verision_ARS	Non-Overlap
CNVR_205	23	24580918	24671650	2	1		1		Mixed	90733	Verision_ARS	Non-Overlap
CNVR_206	23	25222914	25978647	1	1				Loss	755734	Verision_ARS	Non-Overlap
CNVR_212	24	13564505	13604334	1	1				Loss	39830	Verision_ARS	Non-Overlap
CNVR_213	24	17315979	17382473	2	2				Loss	66495	Verision_ARS	Non-Overlap
CNVR_215	24	52356772	52388202	2	2				Loss	31431	Verision_ARS	Non-Overlap
CNVR_222	26	12364119	12500044	1	1				Loss	135926	Verision_ARS	Non-Overlap
CNVR_223	26	21708133	21787462	2	2				Loss	79330	Verision_ARS	Non-Overlap
CNVR_224	26	23363852	23420638	1	1				Loss	56787	Verision_ARS	Non-Overlap
CNVR_226	26	27974246	28056789	3	3				Loss	82544	Verision_ARS	Non-Overlap
CNVR_228	27	2168531	2287885	5	5				Loss	119355	Verision_ARS	Non-Overlap
CNVR_229	27	6922514	6990804	1	1				Loss	68291	Verision_ARS	Non-Overlap
CNVR_233	27	29739347	29871854	1	1				Loss	132508	Verision_ARS	Non-Overlap
CNVR_234	27	45113851	45153084	1	1				Loss	39234	Verision_ARS	Non-Overlap
CNVR_240	28	36183465	36263181	1	1				Loss	79717	Verision_ARS	Non-Overlap
CNVR_241	29	3245223	3316585	1	1				Loss	71363	Verision_ARS	Non-Overlap
CNVR_242	29	13028703	15774315	2	1		1		Mixed	2745613	Verision_ARS	Non-Overlap
CNVR_244	29	36544016	36573929	1	1				Loss	29914	Verision_ARS	Non-Overlap
CNVR_246	29	47572920	47668622	2	2				Loss	95703	Verision_ARS	Non-Overlap
