CNVR_ID	Chr	Start	End	Frequent	0	1	3	4	Type	Length	version	Check_overlap	Overlap_length
CNVR_132	12	70816749	72117025	14	14				Loss	1300277	Version_UMD	Overlap	129900
CNVR_133	12	72419043	76870470	89	53	1	35		Mixed	4451428	Version_UMD	Overlap	68835
CNVR_134	12	82137254	82229884	7	7				Loss	92631	Version_UMD	Non-Overlap	
CNVR_135	12	83266140	85453952	2			2		Gain	2187813	Version_UMD	Overlap	42324
CNVR_136	13	1342729	1425986	1	1				Loss	83258	Version_UMD	Non-Overlap	
CNVR_137	13	12543348	12808180	1			1		Gain	264833	Version_UMD	Overlap	205107
CNVR_138	13	41643163	41678593	1	1				Loss	35431	Version_UMD	Non-Overlap	
CNVR_139	13	43643509	43771619	11			11		Gain	128111	Version_UMD	Non-Overlap	
CNVR_14	2	7457310	8521798	9	8		1		Mixed	1064489	Version_UMD	Overlap	805735
CNVR_140	13	53838879	53862891	1	1				Loss	24013	Version_UMD	Overlap	24013
CNVR_141	13	53915515	54076116	6	6				Loss	160602	Version_UMD	Overlap	160602
CNVR_142	13	58163971	58253335	1	1				Loss	89365	Version_UMD	Non-Overlap	
CNVR_143	14	19993440	20421717	5			5		Gain	428278	Version_UMD	Non-Overlap	
CNVR_144	14	77329830	77442081	2	2				Loss	112252	Version_UMD	Non-Overlap	
CNVR_145	14	78336871	78386690	5	5				Loss	49820	Version_UMD	Non-Overlap	
CNVR_146	14	84606028	84628243	1			1		Gain	22216	Version_UMD	Non-Overlap	
CNVR_147	15	74750	1295957	1			1		Gain	1221208	Version_UMD	Overlap	726344
CNVR_148	15	2130402	4293948	6		5	1		Mixed	2163547	Version_UMD	Overlap	1011414
CNVR_149	15	12689785	12751702	1	1				Loss	61918	Version_UMD	Overlap	61918
CNVR_15	2	9890166	13411225	12	11		1		Mixed	3521060	Version_UMD	Overlap	3166491
CNVR_150	15	18569217	18664416	1	1				Loss	95200	Version_UMD	Non-Overlap	
CNVR_151	15	46539222	46975690	2			2		Gain	436469	Version_UMD	Non-Overlap	
CNVR_152	15	47873132	48075574	10	8		2		Mixed	202443	Version_UMD	Non-Overlap	
CNVR_153	15	55459883	55502718	1	1				Loss	42836	Version_UMD	Non-Overlap	
CNVR_154	15	68021790	68058858	1	1				Loss	37069	Version_UMD	Non-Overlap	
CNVR_155	15	68387254	73255004	1			1		Gain	4867751	Version_UMD	Overlap	48576
CNVR_155	15	68387254	73255004	1			1		Gain	4867751	Version_UMD	Overlap	1257564
CNVR_155	15	68387254	73255004	1			1		Gain	4867751	Version_UMD	Overlap	23061
CNVR_155	15	68387254	73255004	1			1		Gain	4867751	Version_UMD	Overlap	60268
CNVR_156	15	80329011	80935724	32	8	3	19	2	Mixed	606714	Version_UMD	Non-Overlap	
CNVR_157	16	5584314	6125517	4	2		2		Mixed	541204	Version_UMD	Overlap	444936
CNVR_158	16	6208012	6272908	3	3				Loss	64897	Version_UMD	Non-Overlap	
CNVR_159	16	10859069	10958964	1		1			Loss	99896	Version_UMD	Non-Overlap	
CNVR_16	2	13597108	13668484	1			1		Gain	71377	Version_UMD	Overlap	40051
CNVR_160	16	12465527	12508155	3	3				Loss	42629	Version_UMD	Non-Overlap	
CNVR_161	16	15126214	15293292	43	43				Loss	167079	Version_UMD	Overlap	167079
CNVR_162	16	47971231	48088496	3	3				Loss	117266	Version_UMD	Non-Overlap	
CNVR_163	16	61932640	62244131	18			18		Gain	311492	Version_UMD	Overlap	33958
CNVR_164	17	727200	2748831	1			1		Gain	2021632	Version_UMD	Overlap	742201
CNVR_165	17	22285150	22378265	1	1				Loss	93116	Version_UMD	Overlap	93116
CNVR_166	17	25010293	25167004	3	3				Loss	156712	Version_UMD	Non-Overlap	
CNVR_167	17	27303135	27484341	2	2				Loss	181207	Version_UMD	Non-Overlap	
CNVR_168	17	30640617	34057200	2			2		Gain	3416584	Version_UMD	Overlap	1306930
CNVR_169	17	42422307	42685587	2		2			Loss	263281	Version_UMD	Non-Overlap	
CNVR_17	2	27366556	28035273	21			21		Gain	668718	Version_UMD	Overlap	613437
CNVR_170	17	47608485	47667026	1	1				Loss	58542	Version_UMD	Non-Overlap	
CNVR_171	17	50685977	51000846	2	2				Loss	314870	Version_UMD	Non-Overlap	
CNVR_172	17	74723634	74925889	2			1	1	Gain	202256	Version_UMD	Non-Overlap	
CNVR_173	18	2815483	2864232	1			1		Gain	48750	Version_UMD	Non-Overlap	
CNVR_174	18	27870868	28375091	2			2		Gain	504224	Version_UMD	Overlap	342989
CNVR_175	18	38815705	38883296	1	1				Loss	67592	Version_UMD	Non-Overlap	
CNVR_176	18	61644854	61929947	17	13		4		Mixed	285094	Version_UMD	Overlap	57459
CNVR_177	18	63896972	63931097	1	1				Loss	34126	Version_UMD	Non-Overlap	
CNVR_178	19	7762820	7902781	4	4				Loss	139962	Version_UMD	Overlap	53431
CNVR_179	19	14579657	14606603	1	1				Loss	26947	Version_UMD	Non-Overlap	
CNVR_18	2	28246133	29839570	1			1		Gain	1593438	Version_UMD	Overlap	39891
CNVR_180	19	27576066	28031919	2			1	1	Gain	455854	Version_UMD	Non-Overlap	
CNVR_181	19	51478494	51538272	1	1				Loss	59779	Version_UMD	Overlap	49099
CNVR_182	19	52740740	52872517	2			2		Gain	131778	Version_UMD	Non-Overlap	
CNVR_183	19	55101341	55191677	1			1		Gain	90337	Version_UMD	Overlap	90337
CNVR_184	20	1086515	1196509	5			5		Gain	109995	Version_UMD	Non-Overlap	
CNVR_185	20	9813884	9890424	1	1				Loss	76541	Version_UMD	Non-Overlap	
CNVR_186	20	10253023	10424451	1			1		Gain	171429	Version_UMD	Overlap	33337
CNVR_187	20	22960402	23017834	1	1				Loss	57433	Version_UMD	Non-Overlap	
CNVR_188	20	29717135	29785475	1	1				Loss	68341	Version_UMD	Overlap	62393
CNVR_189	20	46028649	46091593	2	2				Loss	62945	Version_UMD	Overlap	62945
CNVR_19	2	55325381	58384394	2			2		Gain	3059014	Version_UMD	Overlap	1707185
CNVR_19	2	55325381	58384394	2			2		Gain	3059014	Version_UMD	Overlap	64244
CNVR_190	20	53346454	53410194	1	1				Loss	63741	Version_UMD	Overlap	63741
CNVR_191	20	60147560	61455283	2	1		1		Mixed	1307724	Version_UMD	Overlap	337415
CNVR_191	20	60147560	61455283	2	1		1		Mixed	1307724	Version_UMD	Overlap	111262
CNVR_192	20	68499446	68547457	1	1				Loss	48012	Version_UMD	Non-Overlap	
CNVR_193	21	13657850	13715904	2	2				Loss	58055	Version_UMD	Non-Overlap	
CNVR_194	21	20063553	20259891	17	16		1		Mixed	196339	Version_UMD	Overlap	16758
CNVR_195	21	29654748	29762241	1			1		Gain	107494	Version_UMD	Non-Overlap	
CNVR_196	21	37941393	37993399	1	1				Loss	52007	Version_UMD	Overlap	52007
CNVR_197	21	52273180	52364049	6	6				Loss	90870	Version_UMD	Overlap	72012
CNVR_198	21	52771584	53285393	1		1			Loss	513810	Version_UMD	Overlap	513810
CNVR_199	21	54181213	54276389	4	4				Loss	95177	Version_UMD	Non-Overlap	
CNVR_2	1	15937076	16069418	1			1		Gain	132343	Version_UMD	Overlap	78863
CNVR_20	2	63897151	64043648	9			9		Gain	146498	Version_UMD	Overlap	132882
CNVR_200	22	9165638	9458557	1		1			Loss	292920	Version_UMD	Overlap	229411
CNVR_201	22	34096831	34168563	1	1				Loss	71733	Version_UMD	Non-Overlap	
CNVR_202	22	43894412	44172715	2	2				Loss	278304	Version_UMD	Non-Overlap	
CNVR_203	22	57444701	57486105	1	1				Loss	41405	Version_UMD	Non-Overlap	
CNVR_204	23	15894	1775946	1			1		Gain	1760053	Version_UMD	Non-Overlap	
CNVR_205	23	24580918	24671650	2	1		1		Mixed	90733	Version_UMD	Non-Overlap	
CNVR_206	23	25222914	25978647	1	1				Loss	755734	Version_UMD	Overlap	169616
CNVR_207	23	26255454	26314846	18	18				Loss	59393	Version_UMD	Non-Overlap	
CNVR_208	23	27286587	27903991	3	2		1		Mixed	617405	Version_UMD	Overlap	240806
CNVR_208	23	27286587	27903991	3	2		1		Mixed	617405	Version_UMD	Overlap	20480
CNVR_209	23	28970578	29126339	4	3		1		Mixed	155762	Version_UMD	Overlap	20330
CNVR_21	2	64218639	64784574	1	1				Loss	565936	Version_UMD	Overlap	254082
CNVR_210	23	31338261	31707092	1			1		Gain	368832	Version_UMD	Overlap	126139
CNVR_211	24	13255894	13331435	7	7				Loss	75542	Version_UMD	Non-Overlap	
CNVR_212	24	13564505	13604334	1	1				Loss	39830	Version_UMD	Non-Overlap	
CNVR_213	24	17315979	17382473	2	2				Loss	66495	Version_UMD	Non-Overlap	
CNVR_214	24	26382635	29490959	4	1		2	1	Mixed	3108325	Version_UMD	Overlap	1456963
CNVR_215	24	52356772	52388202	2	2				Loss	31431	Version_UMD	Non-Overlap	
CNVR_216	24	60441853	60476719	1			1		Gain	34867	Version_UMD	Non-Overlap	
CNVR_217	25	853665	1771425	1		1			Loss	917761	Version_UMD	Overlap	916596
CNVR_218	25	9621091	9690819	2			2		Gain	69729	Version_UMD	Overlap	7647
CNVR_219	25	10131703	10160301	1	1				Loss	28599	Version_UMD	Non-Overlap	
CNVR_22	2	66696730	69527656	2	1		1		Mixed	2830927	Version_UMD	Overlap	66894
CNVR_22	2	66696730	69527656	2	1		1		Mixed	2830927	Version_UMD	Overlap	304677
CNVR_22	2	66696730	69527656	2	1		1		Mixed	2830927	Version_UMD	Overlap	610034
CNVR_220	25	42006514	42115088	1			1		Gain	108575	Version_UMD	Non-Overlap	
CNVR_221	26	3010798	3087092	2	1		1		Mixed	76295	Version_UMD	Overlap	76295
CNVR_222	26	12364119	12500044	1	1				Loss	135926	Version_UMD	Non-Overlap	
CNVR_223	26	21708133	21787462	2	2				Loss	79330	Version_UMD	Non-Overlap	
CNVR_224	26	23363852	23420638	1	1				Loss	56787	Version_UMD	Non-Overlap	
CNVR_225	26	25719640	25757447	7	7				Loss	37808	Version_UMD	Non-Overlap	
CNVR_226	26	27974246	28056789	3	3				Loss	82544	Version_UMD	Non-Overlap	
CNVR_227	26	51200330	51267717	1			1		Gain	67388	Version_UMD	Non-Overlap	
CNVR_228	27	2168531	2287885	5	5				Loss	119355	Version_UMD	Non-Overlap	
CNVR_229	27	6922514	6990804	1	1				Loss	68291	Version_UMD	Non-Overlap	
CNVR_23	2	74228539	78942271	4	2		2		Mixed	4713733	Version_UMD	Overlap	1367664
CNVR_230	27	8160092	12430054	2	1		1		Mixed	4269963	Version_UMD	Overlap	2005319
CNVR_230	27	8160092	12430054	2	1		1		Mixed	4269963	Version_UMD	Overlap	169886
CNVR_231	27	15447004	18226356	1			1		Gain	2779353	Version_UMD	Overlap	67435
CNVR_232	27	19272412	22448445	1			1		Gain	3176034	Version_UMD	Overlap	65368
CNVR_232	27	19272412	22448445	1			1		Gain	3176034	Version_UMD	Overlap	272108
CNVR_233	27	29739347	29871854	1	1				Loss	132508	Version_UMD	Overlap	13742
CNVR_234	27	45113851	45153084	1	1				Loss	39234	Version_UMD	Non-Overlap	
CNVR_235	28	2313753	2869287	139	138		1		Mixed	555535	Version_UMD	Non-Overlap	
CNVR_236	28	8022387	8200649	1		1			Loss	178263	Version_UMD	Non-Overlap	
CNVR_237	28	9886410	12593367	1			1		Gain	2706958	Version_UMD	Overlap	781042
CNVR_238	28	20332119	24211870	2			2		Gain	3879752	Version_UMD	Overlap	228252
CNVR_238	28	20332119	24211870	2			2		Gain	3879752	Version_UMD	Overlap	1375281
CNVR_238	28	20332119	24211870	2			2		Gain	3879752	Version_UMD	Overlap	161806
CNVR_238	28	20332119	24211870	2			2		Gain	3879752	Version_UMD	Overlap	22923
CNVR_238	28	20332119	24211870	2			2		Gain	3879752	Version_UMD	Overlap	93684
CNVR_239	28	24578469	24611840	1	1				Loss	33372	Version_UMD	Non-Overlap	
CNVR_24	2	81336425	84170290	1			1		Gain	2833866	Version_UMD	Overlap	1931172
CNVR_240	28	36183465	36263181	1	1				Loss	79717	Version_UMD	Non-Overlap	
CNVR_241	29	3245223	3316585	1	1				Loss	71363	Version_UMD	Non-Overlap	
CNVR_242	29	13028703	15774315	2	1		1		Mixed	2745613	Version_UMD	Overlap	13435
CNVR_242	29	13028703	15774315	2	1		1		Mixed	2745613	Version_UMD	Overlap	228171
CNVR_243	29	19200818	22047517	6	2	2	2		Mixed	2846700	Version_UMD	Overlap	12929
CNVR_243	29	19200818	22047517	6	2	2	2		Mixed	2846700	Version_UMD	Overlap	755918
CNVR_243	29	19200818	22047517	6	2	2	2		Mixed	2846700	Version_UMD	Overlap	302260
CNVR_243	29	19200818	22047517	6	2	2	2		Mixed	2846700	Version_UMD	Overlap	65212
CNVR_243	29	19200818	22047517	6	2	2	2		Mixed	2846700	Version_UMD	Overlap	58081
CNVR_244	29	36544016	36573929	1	1				Loss	29914	Version_UMD	Non-Overlap	
CNVR_245	29	38767346	39842168	1			1		Gain	1074823	Version_UMD	Non-Overlap	
CNVR_246	29	47572920	47668622	2	2				Loss	95703	Version_UMD	Non-Overlap	
CNVR_25	3	11012679	11063503	1	1				Loss	50825	Version_UMD	Non-Overlap	
CNVR_26	3	37172756	41992103	1			1		Gain	4819348	Version_UMD	Overlap	2822505
CNVR_26	3	37172756	41992103	1			1		Gain	4819348	Version_UMD	Overlap	211275
CNVR_27	3	54555541	55074485	24		2	19	3	Mixed	518945	Version_UMD	Overlap	226450
CNVR_28	3	67440250	67474440	1	1				Loss	34191	Version_UMD	Non-Overlap	
CNVR_29	3	69596912	74348506	2	1		1		Mixed	4751595	Version_UMD	Overlap	19254
CNVR_29	3	69596912	74348506	2	1		1		Mixed	4751595	Version_UMD	Overlap	22081
CNVR_29	3	69596912	74348506	2	1		1		Mixed	4751595	Version_UMD	Overlap	1368279
CNVR_29	3	69596912	74348506	2	1		1		Mixed	4751595	Version_UMD	Overlap	300916
CNVR_3	1	16277524	17021138	2	1	1			Loss	743615	Version_UMD	Overlap	642280
CNVR_30	4	17112	4258236	4			4		Gain	4241125	Version_UMD	Overlap	3948305
CNVR_31	4	6223614	6425277	36			36		Gain	201664	Version_UMD	Overlap	95050
CNVR_32	4	15849767	16918197	2			2		Gain	1068431	Version_UMD	Overlap	30844
CNVR_33	4	17858900	18815510	2			2		Gain	956611	Version_UMD	Overlap	313441
CNVR_34	4	22646006	22745371	1	1				Loss	99366	Version_UMD	Overlap	31605
CNVR_35	4	45664659	45743508	1	1				Loss	78850	Version_UMD	Non-Overlap	
CNVR_36	4	58591926	59647887	1			1		Gain	1055962	Version_UMD	Overlap	180917
CNVR_36	4	58591926	59647887	1			1		Gain	1055962	Version_UMD	Overlap	20657
CNVR_36	4	58591926	59647887	1			1		Gain	1055962	Version_UMD	Overlap	144558
CNVR_37	4	59813010	59953839	1			1		Gain	140830	Version_UMD	Non-Overlap	
CNVR_38	4	65259787	65291207	1	1				Loss	31421	Version_UMD	Non-Overlap	
CNVR_39	4	66482908	67007235	26			26		Gain	524328	Version_UMD	Overlap	50257
CNVR_4	1	18946871	18998146	1			1		Gain	51276	Version_UMD	Overlap	51276
CNVR_40	4	72358306	72561411	5	5				Loss	203106	Version_UMD	Non-Overlap	
CNVR_41	4	73676903	73758088	2	2				Loss	81186	Version_UMD	Overlap	81186
CNVR_42	4	83708251	85983005	3			3		Gain	2274755	Version_UMD	Overlap	927868
CNVR_42	4	83708251	85983005	3			3		Gain	2274755	Version_UMD	Overlap	36879
CNVR_42	4	83708251	85983005	3			3		Gain	2274755	Version_UMD	Overlap	59860
CNVR_43	4	106018897	106193024	1			1		Gain	174128	Version_UMD	Overlap	25918
CNVR_44	4	113657341	113889320	3			3		Gain	231980	Version_UMD	Non-Overlap	
CNVR_45	5	7674802	9143490	2			2		Gain	1468689	Version_UMD	Overlap	266092
CNVR_45	5	7674802	9143490	2			2		Gain	1468689	Version_UMD	Overlap	86910
CNVR_46	5	27214378	27287454	1			1		Gain	73077	Version_UMD	Non-Overlap	
CNVR_47	5	37590024	37643766	1	1				Loss	53743	Version_UMD	Non-Overlap	
CNVR_48	5	41565285	41606346	2	2				Loss	41062	Version_UMD	Non-Overlap	
CNVR_49	5	42179749	42241538	4	4				Loss	61790	Version_UMD	Non-Overlap	
CNVR_5	1	22539046	26966818	2			2		Gain	4427773	Version_UMD	Overlap	1847870
CNVR_5	1	22539046	26966818	2			2		Gain	4427773	Version_UMD	Overlap	25410
CNVR_5	1	22539046	26966818	2			2		Gain	4427773	Version_UMD	Overlap	432906
CNVR_50	5	50669547	50719772	1	1				Loss	50226	Version_UMD	Non-Overlap	
CNVR_51	5	51636267	55590501	7	1		6		Mixed	3954235	Version_UMD	Overlap	2151762
CNVR_51	5	51636267	55590501	7	1		6		Mixed	3954235	Version_UMD	Overlap	476825
CNVR_52	5	58003271	60244864	3	1		2		Mixed	2241594	Version_UMD	Overlap	29688
CNVR_52	5	58003271	60244864	3	1		2		Mixed	2241594	Version_UMD	Overlap	16037
CNVR_52	5	58003271	60244864	3	1		2		Mixed	2241594	Version_UMD	Overlap	213213
CNVR_52	5	58003271	60244864	3	1		2		Mixed	2241594	Version_UMD	Overlap	216609
CNVR_52	5	58003271	60244864	3	1		2		Mixed	2241594	Version_UMD	Overlap	37475
CNVR_53	5	89545151	93920010	2			2		Gain	4374860	Version_UMD	Overlap	1776973
CNVR_53	5	89545151	93920010	2			2		Gain	4374860	Version_UMD	Overlap	50258
CNVR_54	5	119308044	119348174	11	11				Loss	40131	Version_UMD	Non-Overlap	
CNVR_55	5	119729902	119761233	1	1				Loss	31332	Version_UMD	Overlap	4398
CNVR_56	5	119910992	119969515	1				1	Gain	58524	Version_UMD	Non-Overlap	
CNVR_57	5	120295070	120340833	1	1				Loss	45764	Version_UMD	Non-Overlap	
CNVR_58	6	1054786	1093395	1	1				Loss	38610	Version_UMD	Non-Overlap	
CNVR_59	6	8617907	11875487	2			2		Gain	3257581	Version_UMD	Overlap	1965873
CNVR_59	6	8617907	11875487	2			2		Gain	3257581	Version_UMD	Overlap	94864
CNVR_6	1	38472886	40379850	1				1	Gain	1906965	Version_UMD	Overlap	1627688
CNVR_60	6	12296402	12391211	2		2			Loss	94810	Version_UMD	Non-Overlap	
CNVR_61	6	32408331	34959851	1			1		Gain	2551521	Version_UMD	Overlap	1122213
CNVR_61	6	32408331	34959851	1			1		Gain	2551521	Version_UMD	Overlap	64952
CNVR_61	6	32408331	34959851	1			1		Gain	2551521	Version_UMD	Overlap	737404
CNVR_62	6	35648890	35710334	1	1				Loss	61445	Version_UMD	Non-Overlap	
CNVR_63	6	37885679	37894102	3	3				Loss	8424	Version_UMD	Non-Overlap	
CNVR_64	6	37962382	37976610	1		1			Loss	14229	Version_UMD	Non-Overlap	
CNVR_65	6	39259257	39300440	1			1		Gain	41184	Version_UMD	Non-Overlap	
CNVR_66	6	39482266	39486775	1	1				Loss	4510	Version_UMD	Non-Overlap	
CNVR_67	6	48578627	51492985	1			1		Gain	2914359	Version_UMD	Overlap	1967483
CNVR_67	6	48578627	51492985	1			1		Gain	2914359	Version_UMD	Overlap	693778
CNVR_68	6	53581208	53787963	1		1			Loss	206756	Version_UMD	Overlap	206756
CNVR_69	6	63402550	67423466	1			1		Gain	4020917	Version_UMD	Overlap	1382228
CNVR_7	1	47078177	50057426	1			1		Gain	2979250	Version_UMD	Overlap	1817504
CNVR_7	1	47078177	50057426	1			1		Gain	2979250	Version_UMD	Overlap	104776
CNVR_70	6	85954909	86207116	53	53				Loss	252208	Version_UMD	Non-Overlap	
CNVR_71	6	91636147	91660390	1			1		Gain	24244	Version_UMD	Non-Overlap	
CNVR_72	6	96654485	97475077	1			1		Gain	820593	Version_UMD	Non-Overlap	
CNVR_73	6	104320493	104423445	1			1		Gain	102953	Version_UMD	Non-Overlap	
CNVR_74	7	169828	233662	25	23	2			Loss	63835	Version_UMD	Non-Overlap	
CNVR_75	7	9434503	11402583	42	3		38	1	Mixed	1968081	Version_UMD	Overlap	1060196
CNVR_75	7	9434503	11402583	42	3		38	1	Mixed	1968081	Version_UMD	Overlap	168142
CNVR_76	7	15612804	15734286	1	1				Loss	121483	Version_UMD	Overlap	4437
CNVR_77	7	22890277	23166779	1		1			Loss	276503	Version_UMD	Non-Overlap	
CNVR_78	7	23868219	24693994	1		1			Loss	825776	Version_UMD	Non-Overlap	
CNVR_79	7	28542358	28657444	1	1				Loss	115087	Version_UMD	Non-Overlap	
CNVR_8	1	55259756	55396138	1		1			Loss	136383	Version_UMD	Non-Overlap	
CNVR_80	7	29560140	29642778	1	1				Loss	82639	Version_UMD	Overlap	10609
CNVR_81	7	33119399	35366992	6			6		Gain	2247594	Version_UMD	Overlap	20695
CNVR_81	7	33119399	35366992	6			6		Gain	2247594	Version_UMD	Overlap	128994
CNVR_82	7	41466011	41525995	1				1	Gain	59985	Version_UMD	Non-Overlap	
CNVR_83	7	66064958	66112882	2	2				Loss	47925	Version_UMD	Non-Overlap	
CNVR_84	7	70621019	70822690	2			2		Gain	201672	Version_UMD	Non-Overlap	
CNVR_85	7	77854696	82546140	2	1		1		Mixed	4691445	Version_UMD	Overlap	463541
CNVR_86	7	86053351	88572978	10	8		1	1	Mixed	2519628	Version_UMD	Overlap	139854
CNVR_86	7	86053351	88572978	10	8		1	1	Mixed	2519628	Version_UMD	Overlap	38673
CNVR_87	7	93224876	93254737	1		1			Loss	29862	Version_UMD	Non-Overlap	
CNVR_88	7	93522200	95027313	1			1		Gain	1505114	Version_UMD	Non-Overlap	
CNVR_89	7	105279874	109027529	3	2		1		Mixed	3747656	Version_UMD	Overlap	816772
CNVR_9	1	62918442	63025706	1	1				Loss	107265	Version_UMD	Non-Overlap	
CNVR_90	7	112516157	112610067	2			2		Gain	93911	Version_UMD	Non-Overlap	
CNVR_91	8	1873738	4988343	2			2		Gain	3114606	Version_UMD	Overlap	244425
CNVR_91	8	1873738	4988343	2			2		Gain	3114606	Version_UMD	Overlap	313718
CNVR_91	8	1873738	4988343	2			2		Gain	3114606	Version_UMD	Overlap	452481
CNVR_92	8	17466905	21695762	1			1		Gain	4228858	Version_UMD	Overlap	1254292
CNVR_92	8	17466905	21695762	1			1		Gain	4228858	Version_UMD	Overlap	410956
CNVR_93	8	43628838	43816192	1	1				Loss	187355	Version_UMD	Overlap	187355
CNVR_94	8	70894442	71263375	1	1				Loss	368934	Version_UMD	Non-Overlap	
CNVR_95	8	83190665	83273697	46	46				Loss	83033	Version_UMD	Non-Overlap	
CNVR_96	8	93276825	95307289	2			1	1	Gain	2030465	Version_UMD	Overlap	178438
CNVR_96	8	93276825	95307289	2			1	1	Gain	2030465	Version_UMD	Overlap	140639
CNVR_97	8	95829528	96156374	5	5				Loss	326847	Version_UMD	Non-Overlap	
CNVR_98	9	2738997	2934964	5	5				Loss	195968	Version_UMD	Overlap	195968
CNVR_99	9	4906838	4966893	1	1				Loss	60056	Version_UMD	Overlap	60056
